Date,Open,High,Low,Close,Volume
25-Oct-10,56.00,58.32,55.25,56.82,3136163
22-Oct-10,52.93,54.40,52.81,53.91,767787
21-Oct-10,52.43,53.55,51.71,52.31,1551649
20-Oct-10,51.50,52.80,51.46,51.67,1304428
19-Oct-10,53.50,53.80,51.27,51.40,1076815
18-Oct-10,53.71,54.61,53.34,53.98,573445
15-Oct-10,52.98,55.23,52.72,54.06,1598169
14-Oct-10,53.22,53.26,51.91,52.55,663909
13-Oct-10,53.22,53.80,53.04,53.14,903020
12-Oct-10,53.18,53.18,51.68,52.58,889160
11-Oct-10,51.79,53.80,51.00,52.87,2113099
8-Oct-10,49.95,51.50,49.06,50.86,1382611
7-Oct-10,48.84,50.07,48.50,49.98,1009528
6-Oct-10,51.00,51.00,48.59,49.09,1470666
5-Oct-10,50.98,51.20,50.25,51.02,1184674
4-Oct-10,50.85,51.80,49.75,50.33,1222433
1-Oct-10,51.26,51.45,50.13,50.66,1373345
30-Sep-10,51.94,52.28,49.40,50.58,1894812
29-Sep-10,51.43,52.30,50.35,51.75,1045338
28-Sep-10,52.30,52.32,51.00,51.90,879961
27-Sep-10,51.71,53.05,51.23,52.41,1211642
24-Sep-10,51.56,52.34,50.70,51.98,1759501
23-Sep-10,48.99,51.63,48.91,50.74,1838212
22-Sep-10,50.99,51.00,48.95,49.49,2044558
21-Sep-10,51.20,52.73,50.50,51.35,3834638
20-Sep-10,48.29,51.27,48.14,51.13,2440937
17-Sep-10,51.00,51.00,47.75,48.01,3927892
16-Sep-10,46.11,50.34,46.00,50.30,4551669
15-Sep-10,44.82,47.10,44.71,45.91,3193985
14-Sep-10,44.78,45.15,44.40,44.65,722950
13-Sep-10,44.11,45.79,43.98,44.80,2460538
10-Sep-10,43.35,43.48,42.91,43.33,309617
9-Sep-10,43.60,44.00,43.08,43.32,675519
8-Sep-10,43.00,43.61,42.88,43.11,592991
7-Sep-10,43.99,44.39,42.98,43.06,823113
6-Sep-10,44.42,44.42,44.42,44.42,0
3-Sep-10,44.42,44.42,44.42,44.42,0
2-Sep-10,44.65,44.98,44.14,44.22,745474
1-Sep-10,43.62,44.85,43.44,44.66,1251532
31-Aug-10,41.90,42.97,41.46,42.82,864225
30-Aug-10,42.38,42.82,41.88,41.93,241259
27-Aug-10,41.21,43.00,41.08,42.67,741306
26-Aug-10,41.27,41.50,41.06,40.99,368378
25-Aug-10,41.30,41.34,40.68,41.23,976958
24-Aug-10,41.70,41.75,41.18,41.36,501523
23-Aug-10,42.05,42.59,41.40,42.23,523080
20-Aug-10,42.15,42.50,42.01,42.12,404975
19-Aug-10,42.51,42.80,42.03,42.25,383455
18-Aug-10,42.56,43.02,42.48,42.61,582348
17-Aug-10,42.76,43.20,42.48,42.65,547165
16-Aug-10,42.42,42.81,42.42,42.50,795738
13-Aug-10,43.03,43.90,42.51,42.89,517952
12-Aug-10,42.83,43.61,42.83,43.49,902564
11-Aug-10,43.55,43.77,42.81,43.29,756033
10-Aug-10,44.38,44.70,43.95,44.47,747763
9-Aug-10,44.99,45.92,44.98,45.13,556782
6-Aug-10,45.10,45.36,44.64,45.05,1466038
5-Aug-10,44.46,45.69,43.95,45.66,4490150
4-Aug-10,43.23,43.68,42.74,42.82,1604409
3-Aug-10,42.93,43.39,42.75,42.99,498604
2-Aug-10,43.00,43.74,42.80,42.96,746468
30-Jul-10,41.87,42.84,41.60,42.78,646144
29-Jul-10,41.42,42.26,41.08,42.01,1123772
28-Jul-10,42.56,42.66,41.05,41.30,568962
27-Jul-10,43.00,43.00,41.95,42.57,686733
26-Jul-10,41.80,42.99,41.73,42.72,1147995
23-Jul-10,40.71,41.92,40.40,41.80,821076
22-Jul-10,40.58,41.07,40.50,40.98,1212340
21-Jul-10,40.37,40.56,39.95,40.16,682929
20-Jul-10,39.89,40.38,39.47,40.34,777502
19-Jul-10,40.00,40.21,38.90,40.20,1201617
16-Jul-10,39.14,40.19,39.12,39.91,1937209
15-Jul-10,38.20,39.80,37.55,39.72,2135821
14-Jul-10,36.53,36.72,36.06,36.66,350887
13-Jul-10,36.75,37.11,36.63,36.86,631618
12-Jul-10,36.26,36.97,36.12,36.40,653825
9-Jul-10,35.82,36.35,35.12,36.26,637186
8-Jul-10,36.28,36.33,35.44,35.90,529263
7-Jul-10,34.98,36.09,34.75,35.90,714086
6-Jul-10,35.08,35.65,34.44,34.62,476476
5-Jul-10,34.46,34.46,34.46,34.46,0
2-Jul-10,34.46,34.46,34.46,34.46,0
1-Jul-10,35.27,35.81,34.56,34.97,753286
30-Jun-10,35.08,35.86,35.08,35.26,1020712
29-Jun-10,36.40,36.47,34.62,34.95,1132022
28-Jun-10,37.22,37.44,36.59,36.84,293851
25-Jun-10,37.28,39.97,37.04,37.31,333626
24-Jun-10,38.08,38.25,36.80,37.05,445273
23-Jun-10,38.90,38.99,38.02,38.27,409604
22-Jun-10,38.45,39.04,38.04,38.29,815115
21-Jun-10,38.66,39.95,38.25,38.44,1274311
18-Jun-10,38.07,38.22,37.81,38.18,650363
17-Jun-10,37.87,38.29,37.46,38.02,605311
16-Jun-10,37.22,38.17,37.22,37.97,903637
15-Jun-10,36.83,37.64,36.83,37.61,708799
14-Jun-10,37.15,37.42,36.55,36.66,354571
11-Jun-10,36.43,37.13,36.22,37.03,684263
10-Jun-10,36.48,36.77,35.83,36.75,854668
9-Jun-10,35.91,36.62,35.41,35.63,1088660
8-Jun-10,35.22,35.65,34.83,35.16,1028477
7-Jun-10,36.35,36.48,35.00,35.11,843649
4-Jun-10,37.05,37.50,36.00,36.23,852024
3-Jun-10,37.64,38.00,37.39,37.84,1628085
2-Jun-10,36.69,37.51,36.68,37.39,1196483
1-Jun-10,37.06,37.45,36.65,36.74,697339
31-May-10,37.37,37.37,37.37,37.37,0
28-May-10,37.37,37.37,37.37,37.37,0
27-May-10,36.15,37.20,36.05,37.14,1323957
26-May-10,35.58,36.19,34.85,35.23,1036160
25-May-10,34.82,35.11,33.93,35.11,1444174
24-May-10,35.51,36.48,35.36,36.16,1102153
21-May-10,34.21,35.69,34.09,35.51,1267590
20-May-10,35.32,35.98,34.20,34.28,1615647
19-May-10,37.44,37.46,35.83,36.29,1753391
18-May-10,36.99,39.17,36.70,37.57,4490921
17-May-10,34.00,35.34,34.00,34.85,1261566
14-May-10,35.36,35.42,34.56,35.11,832050
13-May-10,35.35,36.84,35.18,35.41,1483880
12-May-10,33.87,35.28,33.68,35.11,1058999
11-May-10,33.95,34.24,33.40,33.76,1218394
10-May-10,34.16,34.92,34.00,34.49,815973
7-May-10,33.27,33.68,32.18,32.74,1423116
